a a l e n d	VERB type=participle tense=present
a a l e n	NOUN case=dative number=plural ; VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a a l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural ; VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a a l e s	NOUN case=genitive number=singular
a a l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a a l e t	VERB person=2nd number=plural tense=present mood=subjunctive
a a l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a a l s t	VERB person=2nd number=singular tense=present mood=indicative
a a l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a a l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a a l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a a l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a a l t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a a s e n d	VERB type=participle tense=present
a a s e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a a s e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a a s e t	VERB person=2nd number=plural tense=present mood=subjunctive
a a s e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a a s f l i e g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a a s f l i e g e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a a s f r e s s e r n	NOUN case=dative number=plural
a a s f r e s s e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a a s f r e s s e r s	NOUN case=genitive number=singular
a a s t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a a s t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a a s t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a a s t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a a s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a a s v o e g e l n	NOUN case=dative number=plural
a a s v o e g e l	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a a s v o g e l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a a s v o g e l s	NOUN case=genitive number=singular
a b a l i e n i e r e n d	VERB type=participle tense=present
a b a l i e n i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b a l i e n i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b a l i e n i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b a l i e n i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b a l i e n i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b a l i e n i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
